order_id,user_id,order_date,city,amount,status
1001,1,2024-01-15,北京,299.00,paid
1002,2,2024-01-16,上海,599.00,paid
1003,1,2024-01-17,北京,899.00,paid
1004,3,2024-01-18,广州,299.00,paid
1005,2,2024-01-19,上海,199.00,refund
1006,1,2024-02-01,北京,599.00,paid
1007,4,2024-02-02,深圳,599.00,paid
1008,3,2024-02-03,广州,897.00,paid
1009,2,2024-02-04,上海,199.00,paid
1010,1,2024-02-05,北京,399.00,paid
1011,4,2024-03-10,深圳,299.00,paid
1012,3,2024-03-11,广州,1198.00,paid
1013,1,2024-03-12,北京,299.00,refund
1014,2,2024-03-13,上海,597.00,paid
1015,4,2024-03-14,深圳,199.00,paid

