order_id,order_date,customer_id,product_id,quantity,total_amount
1001,2024-01-15,C001,P001,1,2999.00
1002,2024-01-16,C002,P002,1,5999.00
1003,2024-01-17,C001,P003,3,897.00
1004,2024-01-18,C003,P001,1,2999.00
1005,2024-01-19,C002,P004,2,198.00
1006,2024-02-01,C001,P002,1,5999.00
1007,2024-02-02,C004,P003,2,598.00
1008,2024-02-03,C003,P001,3,8997.00
1009,2024-02-04,C002,P004,1,99.00
1010,2024-02-05,C001,P005,2,398.00
1011,2024-03-10,C004,P001,1,2999.00
1012,2024-03-11,C003,P002,2,11998.00
1013,2024-03-12,C001,P003,1,299.00
1014,2024-03-13,C002,P004,3,297.00
1015,2024-03-14,C004,P005,1,199.00

